id_cliente,descr_cliente,id_grupo_contabil,grupo_contabil,uf,cidade,latitude,longitude,regiao,data_cadestro
800,Cliente Vendas Prod. 0800,3.01.01,Vendas de Produtos,RS,RS_bento goncalves,-29.1651606,-51.5141846,Sudeste,2017-01-26 22:55:10
801,Cliente Vendas Prod. 0801,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-01-27 15:30:59
802,Cliente Vendas Prod. 0802,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Sudeste,2017-01-28 10:30:56
803,Cliente Vendas Prod. 0803,3.01.01,Vendas de Produtos,BA,BA_tucano,-10.9714092,-38.7891195,Sudeste,2017-01-28 20:31:36
804,Cliente Vendas Prod. 0804,3.01.01,Vendas de Produtos,SP,SP_itapevi,-23.5486294,-46.9461231,Sul,2017-01-31 04:41:19
805,Cliente Vendas Prod. 0805,3.01.01,Vendas de Produtos,MG,MG_montes claros,-16.7284812,-43.8608422,Sudeste,2017-01-31 12:03:45
806,Cliente Vendas Prod. 0806,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Sudeste,2017-02-01 09:21:08
807,Cliente Vendas Prod. 0807,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Nordeste,2017-02-01 15:41:41
808,Cliente Vendas Prod. 0808,3.01.01,Vendas de Produtos,MG,MG_belo horizonte,-19.9087721,-43.9575494,Sudeste,2017-02-01 22:35:33
810,Cliente Vendas Prod. 0810,3.01.01,Vendas de Produtos,MG,MG_mariana,-20.3749723,-43.4180852,Sudeste,2017-02-01 23:45:14
811,Cliente Vendas Prod. 0811,3.01.01,Vendas de Produtos,SP,SP_cosmopolis,-22.6398317,-47.1887362,Sudeste,2017-02-01 23:45:16
812,Cliente Vendas Prod. 0812,3.01.01,Vendas de Produtos,SP,SP_mairinque,-23.536503,-47.1888901,Sudeste,2017-02-02 02:45:23
815,Cliente Vendas Prod. 0815,3.01.01,Vendas de Produtos,RJ,RJ_belford roxo,-22.7372377,-43.3842925,Sudeste,2017-02-03 13:55:10
816,Cliente Vendas Prod. 0816,3.01.01,Vendas de Produtos,SP,SP_ribeirao preto,-21.1807506,-47.8042811,Sudeste,2017-02-03 17:25:17
817,Cliente Vendas Prod. 0817,3.01.01,Vendas de Produtos,RS,RS_imbe,-29.9518093,-50.12023,Sudeste,2017-02-03 19:25:16
818,Cliente Vendas Prod. 0818,3.01.01,Vendas de Produtos,SP,SP_itarare,-24.1115109,-49.3313274,Sudeste,2017-02-04 19:04:42
819,Cliente Vendas Prod. 0819,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Norte,2017-02-05 17:50:15
820,Cliente Vendas Prod. 0820,3.01.01,Vendas de Produtos,PR,PR_curitiba,-25.453054,-49.2749963,Sul,2017-02-06 01:05:37
821,Cliente Vendas Prod. 0821,3.01.01,Vendas de Produtos,PR,PR_curitiba,-25.453054,-49.2749963,Sudeste,2017-02-06 01:05:37
824,Cliente Vendas Prod. 0824,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-02-07 03:42:53
825,Cliente Vendas Prod. 0825,3.01.01,Vendas de Produtos,SP,SP_porto ferreira,-21.8660324,-47.4781018,Sudeste,2017-02-07 04:03:10
826,Cliente Vendas Prod. 0826,3.01.01,Vendas de Produtos,SP,SP_marilia,-22.2094453,-49.9476115,Sul,2017-02-07 04:15:23
827,Cliente Vendas Prod. 0827,3.01.01,Vendas de Produtos,ES,ES_serra,-20.1775534,-40.2482765,Sudeste,2017-02-07 13:05:49
828,Cliente Vendas Prod. 0828,3.01.01,Vendas de Produtos,RO,RO_colorado do oeste,-13.1222411,-60.5421761,Sudeste,2017-02-07 15:55:19
829,Cliente Vendas Prod. 0829,3.01.01,Vendas de Produtos,RJ,RJ_nova iguacu,-22.7428488,-43.4723199,Sudeste,2017-02-07 16:45:19
830,Cliente Vendas Prod. 0830,3.01.01,Vendas de Produtos,RS,RS_pejucara,-28.4193341,-53.6541997,Sudeste,2017-02-08 21:15:17
831,Cliente Vendas Prod. 0831,3.01.01,Vendas de Produtos,SP,SP_osasco,-23.5365609,-46.7882836,Sudeste,2017-02-09 14:10:19
832,Cliente Vendas Prod. 0832,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-02-09 15:10:23
833,Cliente Vendas Prod. 0833,3.01.01,Vendas de Produtos,MG,MG_montalvania,-14.4184797,-44.3815237,Sudeste,2017-02-09 16:30:12
835,Cliente Vendas Prod. 0835,3.01.01,Vendas de Produtos,RJ,RJ_niteroi,-22.8939271,-43.0863353,Sul,2017-02-09 20:30:16
836,Cliente Vendas Prod. 0836,3.01.01,Vendas de Produtos,ES,ES_conceicao da barra,-18.5763284,-39.7371842,Sudeste,2017-02-10 01:05:19
837,Cliente Vendas Prod. 0837,3.01.01,Vendas de Produtos,MG,MG_manhuacu,-20.2514311,-42.0412337,Nordeste,2017-02-10 11:45:18
838,Cliente Vendas Prod. 0838,3.01.01,Vendas de Produtos,PA,PA_santarem,-2.4364075,-54.7192416,Sudeste,2017-02-10 12:31:53
839,Cliente Vendas Prod. 0839,3.01.01,Vendas de Produtos,SC,SC_jaragua do sul,-26.4839209,-49.0934602,Sudeste,2017-02-10 19:55:08
840,Cliente Vendas Prod. 0840,3.01.01,Vendas de Produtos,SP,SP_sao caetano do sul,-23.6267476,-46.5650578,Sudeste,2017-02-11 06:50:19
842,Cliente Vendas Prod. 0842,3.01.01,Vendas de Produtos,SP,SP_jundiai,-23.1856757,-46.9025941,Sudeste,2017-02-11 11:05:19
843,Cliente Vendas Prod. 0843,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Sudeste,2017-02-12 16:15:21
844,Cliente Vendas Prod. 0844,3.01.01,Vendas de Produtos,SP,SP_jaboticabal,-21.2568272,-48.3201537,Sudeste,2017-02-13 03:02:50
845,Cliente Vendas Prod. 0845,3.01.01,Vendas de Produtos,BA,BA_alagoinhas,-12.1367445,-38.423444,Norte,2017-02-15 02:43:18
846,Cliente Vendas Prod. 0846,3.01.01,Vendas de Produtos,MG,MG_contagem,-19.9190394,-44.0578851,Sudeste,2017-02-28 19:18:23
847,Cliente Vendas Prod. 0847,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-03-06 11:43:04
848,Cliente Vendas Prod. 0848,3.01.01,Vendas de Produtos,RJ,RJ_petropolis,-22.4768193,-43.1708676,Sudeste,2017-03-06 21:35:17
849,Cliente Vendas Prod. 0849,3.01.01,Vendas de Produtos,MG,MG_belo horizonte,-19.9087721,-43.9575494,Sudeste,2017-03-07 21:55:27
851,Cliente Vendas Prod. 0851,3.01.01,Vendas de Produtos,SP,SP_pedreira,-22.7403255,-46.8967537,Sudeste,2017-03-08 03:05:11
852,Cliente Vendas Prod. 0852,3.01.01,Vendas de Produtos,MG,MG_rio paranaiba,-19.2076954,-46.3217653,Sudeste,2017-03-08 11:15:16
853,Cliente Vendas Prod. 0853,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Sudeste,2017-03-09 02:55:17
854,Cliente Vendas Prod. 0854,3.01.01,Vendas de Produtos,SP,SP_sao jose do rio preto,-20.8096411,-49.379645,Sudeste,2017-03-09 23:42:58
857,Cliente Vendas Prod. 0857,3.01.01,Vendas de Produtos,RS,RS_pelotas,-31.7512688,-52.3373624,Sudeste,2017-03-10 16:59:14
858,Cliente Vendas Prod. 0858,3.01.01,Vendas de Produtos,SP,SP_franco da rocha,-23.3161723,-46.7258212,Sudeste,2017-03-11 09:26:18
860,Cliente Vendas Prod. 0860,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sul,2017-03-12 18:57:31
861,Cliente Vendas Prod. 0861,3.01.01,Vendas de Produtos,MG,MG_divinopolis,-20.1445539,-44.8891973,Sudeste,2017-03-13 11:04:22
863,Cliente Vendas Prod. 0863,3.01.01,Vendas de Produtos,MG,MG_juiz de fora,-21.7541042,-43.3626371,Sudeste,2017-03-13 14:00:28
864,Cliente Vendas Prod. 0864,3.01.01,Vendas de Produtos,SC,SC_florianopolis,-27.5768356,-48.5179518,Sudeste,2017-03-13 17:37:05
865,Cliente Vendas Prod. 0865,3.01.01,Vendas de Produtos,ES,ES_guacui,-20.7729117,-41.6754967,Sul,2017-03-14 19:30:51
866,Cliente Vendas Prod. 0866,3.01.01,Vendas de Produtos,RJ,RJ_duque de caxias,-22.714738,-43.2894301,Sudeste,2017-03-14 21:56:07
867,Cliente Vendas Prod. 0867,3.01.01,Vendas de Produtos,RS,RS_tavares,-31.2842565,-51.0871801,Sudeste,2017-03-14 22:44:44
868,Cliente Vendas Prod. 0868,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Sudeste,2017-03-14 23:41:19
869,Cliente Vendas Prod. 0869,3.01.01,Vendas de Produtos,PR,PR_cianorte,-23.6615482,-52.6110094,Sul,2017-03-15 21:19:51
870,Cliente Vendas Prod. 0870,3.01.01,Vendas de Produtos,SP,SP_sao joao da boa vista,-21.9782746,-46.790505,Sudeste,2017-03-16 11:15:22
871,Cliente Vendas Prod. 0871,3.01.01,Vendas de Produtos,SP,SP_cajamar,-23.3695867,-46.8423215,Sul,2017-03-16 13:58:03
877,Cliente Vendas Prod. 0877,3.01.01,Vendas de Produtos,PR,PR_toledo,-24.7288499,-53.7394838,Sudeste,2017-03-17 00:30:35
879,Cliente Vendas Prod. 0879,3.01.01,Vendas de Produtos,RS,RS_teutonia,-29.4813608,-51.8082718,Nordeste,2017-03-17 12:32:22
880,Cliente Vendas Prod. 0880,3.01.01,Vendas de Produtos,MG,MG_belo horizonte,-19.9087721,-43.9575494,Sudeste,2017-03-17 13:22:04
882,Cliente Vendas Prod. 0882,3.01.01,Vendas de Produtos,MG,MG_passos,-20.7223837,-46.6086261,Sudeste,2017-03-17 18:39:46
883,Cliente Vendas Prod. 0883,3.01.01,Vendas de Produtos,PR,PR_curitiba,-25.453054,-49.2749963,Sudeste,2017-03-17 21:27:37
884,Cliente Vendas Prod. 0884,3.01.01,Vendas de Produtos,SP,SP_sao joao da boa vista,-21.9782746,-46.790505,Sul,2017-03-18 17:45:15
885,Cliente Vendas Prod. 0885,3.01.01,Vendas de Produtos,MT,MT_varzea grande,-15.5014994,-56.0041517,Sudeste,2017-03-18 23:04:36
886,Cliente Vendas Prod. 0886,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Nordeste,2017-03-19 12:41:44
887,Cliente Vendas Prod. 0887,3.01.01,Vendas de Produtos,RS,RS_montenegro,-29.6878042,-51.467964,Sul,2017-03-20 12:26:01
888,Cliente Vendas Prod. 0888,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Sudeste,2017-03-20 17:15:11
889,Cliente Vendas Prod. 0889,3.01.01,Vendas de Produtos,MG,MG_ituiutaba,-18.976155,-49.4633524,Nordeste,2017-03-20 22:34:44
890,Cliente Vendas Prod. 0890,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-03-21 09:20:40
892,Cliente Vendas Prod. 0892,3.01.01,Vendas de Produtos,RS,RS_veranopolis,-28.9362573,-51.5493766,Nordeste,2017-03-22 08:01:15
894,Cliente Vendas Prod. 0894,3.01.01,Vendas de Produtos,SP,SP_ribeirao preto,-21.1807506,-47.8042811,Sul,2017-03-22 19:47:12
895,Cliente Vendas Prod. 0895,3.01.01,Vendas de Produtos,SC,SC_angelina,-27.5820601,-48.9843866,Nordeste,2017-03-23 15:25:11
896,Cliente Vendas Prod. 0896,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-03-23 21:25:20
897,Cliente Vendas Prod. 0897,3.01.01,Vendas de Produtos,ES,ES_linhares,-19.3834438,-40.0598377,Centro-Oeste,2017-03-25 02:15:36
898,Cliente Vendas Prod. 0898,3.01.01,Vendas de Produtos,SE,SE_aracaju,-10.9413464,-37.0672781,Sudeste,2017-03-26 17:02:14
899,Cliente Vendas Prod. 0899,3.01.01,Vendas de Produtos,SP,SP_mairipora,-23.3302933,-46.5974367,Sudeste,2017-03-29 20:22:21
900,Cliente Vendas Prod. 0900,3.01.01,Vendas de Produtos,PB,PB_nova floresta,-6.4555018,-36.205908,Sudeste,2017-03-30 14:55:17
901,Cliente Vendas Prod. 0901,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-03-30 16:42:32
902,Cliente Vendas Prod. 0902,3.01.01,Vendas de Produtos,BA,BA_salvador,-12.9626546,-38.461683,Sudeste,2017-04-01 14:02:43
903,Cliente Vendas Prod. 0903,3.01.01,Vendas de Produtos,BA,BA_catu de abrantes,-12.8570085,-38.285332,Sudeste,2017-04-02 18:35:18
904,Cliente Vendas Prod. 0904,3.01.01,Vendas de Produtos,CE,CE_araripe,-7.1981902,-40.141118,Sudeste,2017-04-02 22:22:37
905,Cliente Vendas Prod. 0905,3.01.01,Vendas de Produtos,SP,SP_pederneiras,-22.3480131,-48.7844957,Sudeste,2017-04-03 22:15:14
907,Cliente Vendas Prod. 0907,3.01.01,Vendas de Produtos,RS,RS_porto alegre,-30.0492523,-51.1885815,Sudeste,2017-04-04 05:55:19
908,Cliente Vendas Prod. 0908,3.01.01,Vendas de Produtos,SP,SP_guarulhos,-23.4464035,-46.4987685,Sudeste,2017-04-04 06:02:21
909,Cliente Vendas Prod. 0909,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-04-04 16:50:12
910,Cliente Vendas Prod. 0910,3.01.01,Vendas de Produtos,MG,MG_araxa,-19.5922726,-46.9390871,Sudeste,2017-04-04 21:45:15
911,Cliente Vendas Prod. 0911,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-04-05 01:30:08
912,Cliente Vendas Prod. 0912,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Sudeste,2017-04-06 21:15:10
913,Cliente Vendas Prod. 0913,3.01.01,Vendas de Produtos,RS,RS_porto alegre,-30.0492523,-51.1885815,Sul,2017-04-07 03:15:57
914,Cliente Vendas Prod. 0914,3.01.01,Vendas de Produtos,PB,PB_joao pessoa,-7.132032,-34.851423,Sudeste,2017-04-17 08:50:17
915,Cliente Vendas Prod. 0915,3.01.01,Vendas de Produtos,BA,BA_ilheus,-14.8021921,-39.0398239,Sudeste,2017-04-19 21:30:27
916,Cliente Vendas Prod. 0916,3.01.01,Vendas de Produtos,RJ,RJ_niteroi,-22.8939271,-43.0863353,Nordeste,2017-04-20 09:35:15
917,Cliente Vendas Prod. 0917,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sul,2017-04-21 18:55:16
919,Cliente Vendas Prod. 0919,3.01.01,Vendas de Produtos,MG,MG_belo horizonte,-19.9087721,-43.9575494,Sudeste,2017-04-24 19:25:16
920,Cliente Vendas Prod. 0920,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Centro-Oeste,2017-04-24 21:55:21
922,Cliente Vendas Prod. 0922,3.01.01,Vendas de Produtos,SP,SP_botucatu,-22.8821125,-48.4470122,Sudeste,2017-04-25 06:35:40
923,Cliente Vendas Prod. 0923,3.01.01,Vendas de Produtos,SC,SC_criciuma,-28.684533,-49.3775047,Sul,2017-04-26 14:30:19
924,Cliente Vendas Prod. 0924,3.01.01,Vendas de Produtos,RJ,RJ_rio de janeiro,-22.9149109,-43.3128773,Sudeste,2017-04-28 17:10:12
925,Cliente Vendas Prod. 0925,3.01.01,Vendas de Produtos,RJ,RJ_conceicao de macabu,-22.0874375,-41.8676716,Nordeste,2017-04-29 22:50:14
926,Cliente Vendas Prod. 0926,3.01.01,Vendas de Produtos,RJ,RJ_nova iguacu,-22.7428488,-43.4723199,Sudeste,2017-04-30 12:42:37
927,Cliente Vendas Prod. 0927,3.01.01,Vendas de Produtos,DF,DF_brasilia,-15.8110727,-47.9717049,Centro-Oeste,2017-04-30 18:03:06
928,Cliente Vendas Prod. 0928,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Sudeste,2017-05-05 06:50:08
929,Cliente Vendas Prod. 0929,3.01.01,Vendas de Produtos,SP,SP_sao paulo,-23.5708602,-46.6332417,Nordeste,2017-05-06 22:02:23
930,Cliente Vendas Prod. 0930,3.01.01,Vendas de Produtos,RJ,RJ_petropolis,-22.4768193,-43.1708676,Sudeste,2017-05-07 14:15:20
931,Cliente Vendas Prod. 0931,3.01.01,Vendas de Produtos,CE,CE_paracuru,-3.4207176,-39.0353693,Sudeste,2017-05-07 17:50:21
