ccusto_duplicata,documento,parcela,ajustes,id_motivo,descr_motivo,doc_origem
3.09.12,ICMIM1708_01,1.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,2.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,3.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,4.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,5.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,6.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,7.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,8.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,9.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,10.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,11.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,12.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.09.12,ICMIM1708_01,13.0,3068.1818,8.0,Abatido no Ctas a Pagar,CTAS_RECEBER
3.03.63,000004205_01,1.0,123.2346,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004206_01,1.0,90.8639,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004206_01,2.0,90.8639,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004212_01,1.0,507.0433,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004220_01,1.0,205.1181,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004221_01,1.0,147.2061,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004222_01,1.0,267.66,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004235_01,1.0,564.2902,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004239_01,1.0,321.389,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004201_01,1.0,342.4334,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004202_01,1.0,157.1104,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004203_01,1.0,525.2087,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004204_01,1.0,312.9847,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004207_01,1.0,142.084,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004208_01,1.0,413.3478,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004209_01,1.0,389.6589,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004210_01,1.0,507.5803,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004211_01,1.0,280.0771,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004213_01,1.0,261.8215,4.0,Juros Parcelamento Vendas,NF_SAIDA
3.03.63,000004214_01,1.0,389.2412,4.0,Juros Parcelamento Vendas,NF_SAIDA
