ccusto_item,documento,item,id_mat_prod,id_fornecedor,data_emissao,data_movimento,qtde,valor_bruto,icms,pis_cofins,ipi,doc_origem
4.02.01,PC0004823_01,1.0,11.16.0001,104.0,2017-02-06,2017-02-07,1.0,11838.5514,1966.5708,913.1582,0.0,NF_ENTRADA
4.02.01,PC0004848_01,1.0,11.16.0001,104.0,2017-02-13,2017-02-14,1.0,12293.8803,2042.2081,948.2797,0.0,NF_ENTRADA
4.02.01,PC0004864_01,1.0,11.16.0001,104.0,2017-02-20,2017-02-21,1.0,8195.9202,1361.4721,632.1865,0.0,NF_ENTRADA
4.02.01,PC0004878_01,1.0,11.16.0001,104.0,2017-02-26,2017-02-28,1.0,13204.5381,2193.4828,1018.5226,0.0,NF_ENTRADA
4.02.01,PC0004824_01,1.0,11.16.0001,111.0,2017-02-06,2017-02-07,1.0,3851.046,424.0863,316.9938,0.0,NF_ENTRADA
4.02.01,PC0004839_01,1.0,11.16.0001,111.0,2017-02-11,2017-02-14,1.0,2406.9038,265.0539,198.1211,0.0,NF_ENTRADA
4.02.01,PC0004865_01,1.0,11.16.0001,111.0,2017-02-20,2017-02-21,1.0,3490.0104,384.3282,287.2756,0.0,NF_ENTRADA
4.02.01,PC0004876_01,1.0,11.16.0001,111.0,2017-02-25,2017-02-28,1.0,2286.5586,251.8012,188.2151,0.0,NF_ENTRADA
4.02.01,PC0004903_01,1.0,11.16.0001,104.0,2017-03-01,2017-03-04,1.0,8078.9618,1342.0434,623.1649,0.0,NF_ENTRADA
4.02.01,PC0004925_01,1.0,11.16.0001,104.0,2017-03-10,2017-03-11,1.0,6732.4681,1118.3695,519.3041,0.0,NF_ENTRADA
4.02.01,PC0004939_01,1.0,11.16.0001,104.0,2017-03-15,2017-03-18,1.0,10098.7022,1677.5543,778.9562,0.0,NF_ENTRADA
4.02.01,PC0004963_01,1.0,11.16.0001,104.0,2017-03-22,2017-03-25,1.0,8752.2086,1453.8804,675.0954,0.0,NF_ENTRADA
4.02.01,PC0004914_01,1.0,11.16.0001,111.0,2017-03-06,2017-03-07,1.0,2313.2426,254.7397,190.4115,0.0,NF_ENTRADA
4.02.01,PC0004931_01,1.0,11.16.0001,111.0,2017-03-11,2017-03-14,1.0,2135.3008,235.1444,175.7645,0.0,NF_ENTRADA
4.02.01,PC0004954_01,1.0,11.16.0001,111.0,2017-03-18,2017-03-21,1.0,1601.4756,176.3583,131.8234,0.0,NF_ENTRADA
4.02.01,PC0004974_01,1.0,11.16.0001,111.0,2017-03-25,2017-03-28,1.0,2847.0678,313.5258,234.3526,0.0,NF_ENTRADA
4.02.01,PC0005008_01,1.0,11.16.0001,104.0,2017-04-03,2017-04-04,1.0,13899.3537,2308.9027,1072.1167,0.0,NF_ENTRADA
4.02.01,PC0005024_01,1.0,11.16.0001,104.0,2017-04-09,2017-04-11,1.0,20076.8442,3335.0816,1548.613,0.0,NF_ENTRADA
4.02.01,PC0005044_01,1.0,11.16.0001,104.0,2017-04-16,2017-04-18,1.0,13899.3537,2308.9027,1072.1167,0.0,NF_ENTRADA
4.02.01,PC0005073_01,1.0,11.16.0001,104.0,2017-04-24,2017-04-25,1.0,29343.0801,4874.3501,2263.3575,0.0,NF_ENTRADA
4.02.01,PC0004999_01,1.0,11.16.0001,111.0,2017-04-01,2017-04-04,1.0,6355.931,699.9301,523.1801,0.0,NF_ENTRADA
4.02.01,PC0005028_01,1.0,11.16.0001,111.0,2017-04-10,2017-04-11,1.0,4322.0331,475.9525,355.7625,0.0,NF_ENTRADA
4.02.01,PC0005045_01,1.0,11.16.0001,111.0,2017-04-16,2017-04-18,1.0,7118.6427,783.9217,585.9617,0.0,NF_ENTRADA
4.02.01,PC0005074_01,1.0,11.16.0001,111.0,2017-04-24,2017-04-25,1.0,7627.1172,839.9161,627.8161,0.0,NF_ENTRADA
4.02.01,PC0005109_01,1.0,11.16.0001,104.0,2017-05-04,2017-05-05,1.0,28856.5438,4793.5287,2225.8289,0.0,NF_ENTRADA
4.02.01,PC0005121_01,1.0,11.16.0001,104.0,2017-05-09,2017-05-12,1.0,28856.5438,4793.5287,2225.8289,0.0,NF_ENTRADA
4.02.01,PC0005144_01,1.0,11.16.0001,104.0,2017-05-16,2017-05-19,1.0,18867.7402,3134.2303,1455.3497,0.0,NF_ENTRADA
4.02.01,PC0005169_01,1.0,11.16.0001,104.0,2017-05-24,2017-05-26,1.0,34405.8791,5715.3611,2653.8729,0.0,NF_ENTRADA
4.02.01,PC0005105_01,1.0,11.16.0001,111.0,2017-05-03,2017-05-04,1.0,4720.4473,784.141,364.1083,0.0,NF_ENTRADA
4.02.01,PC0005117_01,1.0,11.16.0001,111.0,2017-05-08,2017-05-11,1.0,5252.8162,578.4525,432.3786,0.0,NF_ENTRADA
4.02.01,PC0005148_01,1.0,11.16.0001,111.0,2017-05-17,2017-05-18,1.0,7464.5283,822.0115,614.4328,0.0,NF_ENTRADA
4.02.01,PC0005165_01,1.0,11.16.0001,111.0,2017-05-23,2017-05-25,1.0,10505.6324,1156.905,864.7573,0.0,NF_ENTRADA
4.02.01,PC0005181_01,1.0,11.16.0001,104.0,2017-05-30,2017-06-02,1.0,26888.6825,2961.0451,2213.3065,0.0,NF_ENTRADA
4.02.01,PC0005216_01,1.0,11.16.0001,104.0,2017-06-08,2017-06-09,1.0,45306.6282,7526.1481,3494.6944,0.0,NF_ENTRADA
4.02.01,PC0005235_01,1.0,11.16.0001,104.0,2017-06-15,2017-06-16,1.0,48327.07,8027.8913,3727.674,0.0,NF_ENTRADA
4.02.01,PC0005252_01,1.0,11.16.0001,104.0,2017-06-20,2017-06-23,1.0,28694.1978,4766.5604,2213.3065,0.0,NF_ENTRADA
4.02.01,PC0005202_01,1.0,11.16.0001,111.0,2017-06-04,2017-06-05,1.0,9434.6254,1038.9632,776.5988,0.0,NF_ENTRADA
4.02.01,PC0005225_01,1.0,11.16.0001,111.0,2017-06-11,2017-06-12,1.0,14151.9382,1558.4448,1164.8981,0.0,NF_ENTRADA
4.02.01,PC0005242_01,1.0,11.16.0001,111.0,2017-06-17,2017-06-19,1.0,11793.2818,1298.704,970.7484,0.0,NF_ENTRADA
4.02.01,PC0005259_01,1.0,11.16.0001,111.0,2017-06-23,2017-06-26,1.0,11793.2818,1298.704,970.7484,0.0,NF_ENTRADA
