ccusto_item,documento,item,id_mat_prod,id_cliente,data_emissao,data_movimento,qtde,valor_bruto,icms,pis_cofins,ipi,doc_origem
3.01.01,000004201_01,1,1000146,800,2017-01-31 14:06:00,2017-02-08 08:09:06,30,26532.3684,3128.7321,2164.8364,862.302,NF_SAIDA
3.01.01,000004202_01,1,1000001,801,2017-02-03 13:29:35,2017-02-07 07:34:53,19,12173.2023,2124.453,929.5093,395.6291,NF_SAIDA
3.01.01,000004203_01,1,1000002,802,2017-02-03 13:54:57,2017-02-14 13:15:33,41,40694.1356,4554.4993,3342.9164,1322.5594,NF_SAIDA
3.01.01,000004204_01,1,1000003,803,2017-02-01 13:03:52,2017-02-13 10:32:41,43,24250.6283,1582.6393,2096.789,788.1454,NF_SAIDA
3.01.01,000004205_01,1,1000001,804,2017-02-03 14:25:25,2017-02-07 14:51:41,15,9548.4429,1615.2198,733.8231,310.3244,NF_SAIDA
3.01.01,000004206_01,1,1000147,805,2017-02-03 17:08:03,2017-02-09 18:38:01,47,7040.301,827.4966,574.6844,228.8098,NF_SAIDA
3.01.01,000004207_01,1,1000004,806,2017-02-03 17:08:04,2017-02-07 11:28:10,17,11008.9321,1268.6345,900.9775,357.7903,NF_SAIDA
3.01.01,000004208_01,1,1000148,807,2017-02-03 15:14:02,2017-02-07 17:53:26,34,32026.9495,5502.8283,2453.4812,1040.8759,NF_SAIDA
3.01.01,000004209_01,1,1000005,808,2017-02-10 08:16:59,2017-02-14 10:54:38,26,10380.9702,1214.0721,847.9381,337.3815,NF_SAIDA
3.01.01,000004209_01,2,1000006,808,2017-02-10 08:16:59,2017-02-14 10:54:38,50,19810.5164,2181.8663,1630.6501,643.8418,NF_SAIDA
3.01.01,000004210_01,1,1000007,810,2017-02-03 17:51:38,2017-02-13 13:23:46,33,39328.2564,4420.62,3228.9564,1278.1683,NF_SAIDA
3.01.01,000004211_01,1,1000008,811,2017-02-09 07:37:27,2017-02-14 14:49:01,43,21700.8913,3697.277,1665.3343,705.279,NF_SAIDA
3.01.01,000004212_01,1,1000003,812,2017-02-09 07:37:52,2017-02-14 14:08:16,29,18376.0138,3088.3003,1414.1135,597.2204,NF_SAIDA
3.01.01,000004212_01,2,1000003,812,2017-02-09 07:37:52,2017-02-14 14:08:16,21,13306.7686,2236.3554,1024.0132,432.47,NF_SAIDA
3.01.01,000004212_01,3,1000003,812,2017-02-09 07:37:52,2017-02-14 14:08:16,12,7603.8678,1277.9174,585.1504,247.1257,NF_SAIDA
3.01.01,000004213_01,1,1000009,815,2017-02-13 15:14:42,2017-02-17 13:08:40,34,20286.4143,2304.4418,1663.3325,659.3085,NF_SAIDA
3.01.01,000004214_01,1,1000149,816,2017-02-09 07:37:26,2017-02-13 10:21:27,32,30159.1261,5195.2473,2309.1588,980.1716,NF_SAIDA
